Number,Name,DMX-red,DMX-green,DMX-blue
223,1/8 CTO,255,246,213
283,1 1/2 CTB,69,89,255
286,1 1/2 CTO,255,167,40
441,Full CTS,255,190,76
442,1/2 CTS,255,224,133
443,1/4 CTS,255,241,187
444,1/8 CTS,255,248,222
207,Full CTO + .3 ND,255,193,72
208,Full CTO + .6 ND,255,190,75
212,L.C.T. Yellow (Y1),255,255,190
213,White Flame Green,213,255,208
219,LEE Fluorescent Green,116,224,255
230,Super Correction L.C.T. Yellow,255,229,150
232,Super Correction W.F. Green,255,197,92
236,H.M.I. (to Tungsten),255,189,90
237,C.I.D. (to Tungsten),255,153,85
238,C.S.I. (to Tungsten),255,169,148
241,LEE Fluorescent 5700 Kelvin,113,182,255
242,LEE Fluorescent 4300 Kelvin,156,255,242
243,LEE Fluorescent 3600 Kelvin,174,255,199
244,LEE Plus Green,207,255,158
245,1/2 Plus Green,227,255,196
246,1/4 Plus Green,240,255,221
278,1/8 Plus Green,248,255,237
247,LEE Minus Green,255,176,230
248,1/2 Minus Green,255,211,240
249,1/4 Minus Green,255,231,248
279,1/8 Minus Green,255,242,248
2,Rose Pink,255,91,252
3,Lavender Tint,237,226,255
4,Medium Bastard Amber,255,187,146
7,Pale Yellow,255,255,178
8,Dark Salmon,255,114,44
9,Pale Amber Gold,255,219,130
10,Medium Yellow,248,255,34
13,Straw Tint,255,220,104
15,Deep Straw,255,186,9
17,Surprise Peach,255,150,63
19,Fire,255,52,4
20,Medium Amber,255,163,19
21,Gold Amber,255,105,5
22,Dark Amber,255,76,1
24,Scarlet,255,63,34
25,Sunset Red,255,86,21
26,Bright Red,255,24,1
27,Medium Red,255,16,5
29,Plasa Red,255,25,0
35,Light Pink,255,186,215
36,Medium Pink,255,138,181
46,Dark Magenta,255,30,56
48,Rose Purple,182,63,255
49,Medium Purple,170,16,255
52,Light Lavender,145,112,255
53,Paler Lavender,194,195,255
58,Lavender,68,31,255
61,Mist Blue,164,192,255
63,Pale Blue,137,169,255
68,Sky Blue,24,45,255
71,Tokyo Blue,19,0,255
75,Evening Blue,29,38,255
79,Just Blue,19,24,255
85,Deeper Blue,18,12,255
88,Lime Green,176,255,68
89,Moss Green,77,255,83
90,Dark Yellow Green,28,255,62
100,Spring Yellow,233,255,46
101,Yellow,255,242,22
102,Light Amber,255,225,50
103,Straw,255,237,167
104,Deep Amber,255,205,19
105,Orange,255,131,3
106,Primary Red,255,31,1
107,Light Rose,255,148,143
108,English Rose,255,169,97
109,Light Salmon,255,161,153
110,Middle Rose,255,157,201
111,Dark Pink,255,105,163
113,Magenta,255,30,40
115,Peacock Blue,35,162,255
116,Medium Blue-Green,9,135,255
117,Steel Blue,119,181,255
118,Light Blue,24,88,255
119,Dark Blue,16,18,255
120,Deep Blue,18,6,255
121,LEE Green,135,255,73
122,Fern Green,98,255,95
124,Dark Green,31,255,113
126,Mauve,156,10,255
127,Smokey Pink,255,111,131
128,Bright Pink,255,38,171
131,Marine Blue,75,193,255
132,Medium Blue,17,40,255
134,Golden Amber,255,143,42
135,Deep Golden Amber,255,69,0
136,Pale Lavender,186,152,255
137,Special Lavender,104,94,255
138,Pale Green,193,255,132
139,Primary Green,21,255,39
140,Summer Blue,70,138,255
141,Bright Blue,17,70,255
142,Pale Violet,73,67,255
143,Pale Navy Blue,49,100,255
144,No Color Blue,51,119,255
147,Apricot,255,162,65
148,Bright Rose,255,51,73
151,Gold Tint,255,192,159
152,Pale Gold,255,206,161
153,Pale Salmon,255,183,181
154,Pale Rose,255,206,184
156,Chocolate,255,196,108
157,Pink,255,105,94
158,Deep Orange,255,108,2
159,No Color Straw,255,252,217
161,Slate Blue,50,82,255
162,Bastard Amber,255,221,181
164,Flame Red,255,49,8
165,Daylight Blue,36,72,255
169,Lilac Tint,215,193,255
170,Deep Lavender,167,116,255
172,Lagoon Blue,17,99,255
174,Dark Steel Blue,79,109,255
176,Loving Amber,255,150,114
179,Chrome Orange,255,168,9
180,Dark Lavender,54,21,255
181,Congo Blue,26,0,255
182,Light Red,255,35,2
183,Moonlight Blue,18,79,255
192,Flesh Pink,255,107,148
194,Surprise Pink,114,89,255
195,Zenith Blue,19,13,255
196,true Blue,63,102,255
197,Alice Blue,40,47,255
198,Palace Blue,26,17,255
199,Regal Blue,65,29,255
322,Soft Green,74,253,255
323,Jade,37,237,255
327,Forest Green,24,255,153
328,Follies Pink,255,58,209
332,Special Rose Pink,255,29,94
343,Special Medium Lavender,52,15,255
345,Fuchsia Pink,129,62,255
352,Glacier Blue,40,90,255
353,Lighter Blue,58,136,255
354,Special Steel Blue,38,149,255
363,Special Medium Blue,16,13,255
366,Cornflower,64,83,255
500,Double New Colour Blue,70,86,255
501,New Colour Robertson Blue,129,146,255
502,Half New Colour Blue,179,189,255
503,Quarter New Colour Blue,214,220,255
504,Waterfront Green,177,232,255
505,Sally Green,183,255,61
506,Marlene,255,214,161
507,Madge,255,53,0
508,Midnight Maya,34,10,255
511,Bacon Brown,255,114,10
512,Amber Delight,255,96,5
513,Ice and a Slice,241,255,103
514,Double G & T,238,255,65
525,Argent Blue,42,55,255
550,ALD Gold,101,255,2
600,Arctic White,102,122,255
601,Silver,136,148,255
602,Platinum,152,168,255
603,Moonlight White,159,175,255
604,Full CT 85,255,181,87
642,Half Mustard Yellow,255,225,3
643,Quarter Mustard Yellow,255,226,13
650,Industry Sodium,255,236,97
651,HI Sodium,255,175,66
652,Urban Sodium,255,121,24
653,LO Sodium,255,143,28
184,Cosmetic Peach,255,241,217
186,Cosmetic Silver Rose,255,224,232
187,Cosmetic Rouge,255,224,200
188,Cosmetic Highlight,255,237,211
189,Cosmetic Silver Moss,251,255,202
191,Cosmetic Aqua Blue,234,253,255
705,Lily Frost,140,98,255
717,Shanklin Frost,102,122,255
718,Half Shanklin Frost,155,174,255
720,Durham Daylight Frost,88,107,255
749,Hampshire Rose,255,206,186
750,Durham Frost,255,254,254
774,Soft Amber Key 1,255,208,149
775,Soft Amber Key 2,255,181,102
791,Moroccan Frost,255,178,146
217,Blue Diffusion,255,252,250
221,Blue Frost,255,250,251
224,Daylight Blue Frost,125,140,255
700,Perfect Lavender,47,13,255
701,Provence,69,27,255
702,Special Pale Lavender,184,173,255
703,Cold Lavender,133,84,255
704,Lily,160,120,255
706,King Fals Lavender,52,25,255
708,Cool Lavender,143,158,255
709,Electric Lilac,118,121,255
710,Spir Special Blue,50,49,255
711,Cold Blue,88,103,255
712,Bedford Blue,54,65,255
713,J.Winter Blue,17,1,255
714,Elysian Blue,24,29,255
715,Cabana Blue,24,18,255
716,Mikkel Blue,18,9,255
719,Colour Wash Blue,60,73,255
721,Berry Blue,18,22,255
722,Bray Blue,15,23,255
723,Virgin Blue,27,30,255
724,Ocean Blue,55,113,255
725,Old Steel Blue,123,173,255
727,QFD Blue,5,79,255
728,Steel Green,151,207,255
729,Scuba Blue,3,102,255
730,Liberty Green,191,253,255
731,Dirty Ice,208,255,232
733,Damp Squib,222,255,206
735,Velvet Green,0,255,167
736,Twickenham Green,12,255,37
738,JAS Green,111,255,48
740,Aurora Borealis Green,87,255,15
